Date,Time,Open,High,Low,Close,Volume
2018.01.22,21:00,6.40397,6.40521,6.4022,6.40239,1054
2018.01.22,22:00,6.40234,6.40314,6.40222,6.40264,948
2018.01.23,1:00,6.40126,6.4039,6.40082,6.40324,968
2018.01.23,2:00,6.40314,6.40341,6.39584,6.39694,1969
2018.01.23,3:00,6.39714,6.3973,6.38994,6.39408,2778
2018.01.23,4:00,6.39408,6.40196,6.39404,6.3969,2754
2018.01.23,5:00,6.39694,6.40274,6.39694,6.40126,3345
2018.01.23,6:00,6.40141,6.40354,6.39986,6.40004,1792
2018.01.23,7:00,6.39994,6.40188,6.39758,6.39838,2063
2018.01.23,8:00,6.39838,6.40015,6.39448,6.39944,3426
2018.01.23,9:00,6.39964,6.40254,6.39744,6.40044,3234
2018.01.23,10:00,6.40042,6.40884,6.39984,6.40684,3457
2018.01.23,11:00,6.40684,6.41114,6.40628,6.40691,1941
2018.01.23,12:00,6.40691,6.41095,6.40494,6.40814,1858
2018.01.23,13:00,6.40808,6.41324,6.40547,6.41304,1820
2018.01.23,14:00,6.41247,6.41294,6.40793,6.40883,1556
2018.01.23,15:00,6.40881,6.41164,6.40741,6.40864,2379
2018.01.23,16:00,6.40856,6.41224,6.40764,6.40804,2620
2018.01.23,17:00,6.40773,6.40934,6.40254,6.40311,3039
2018.01.23,18:00,6.4031,6.40694,6.4022,6.40244,2464
2018.01.23,19:00,6.40237,6.40514,6.39904,6.40242,1466
2018.01.23,20:00,6.40239,6.40524,6.40139,6.40174,1195
2018.01.23,21:00,6.40184,6.40252,6.39987,6.39991,1043
2018.01.23,22:00,6.39995,6.40095,6.39922,6.39933,993
2018.01.24,1:00,6.39792,6.39934,6.39235,6.39484,1533
2018.01.24,2:00,6.39494,6.39612,6.39134,6.39344,2547
2018.01.24,3:00,6.39344,6.39619,6.39107,6.39514,3508
2018.01.24,4:00,6.39507,6.39704,6.39254,6.39561,3409
2018.01.24,5:00,6.39564,6.39684,6.39322,6.39354,1905
2018.01.24,6:00,6.39352,6.39352,6.38812,6.39084,2430
2018.01.24,7:00,6.39084,6.39424,6.3907,6.39232,1860
2018.01.24,8:00,6.39231,6.39664,6.39117,6.3947,2947
2018.01.24,9:00,6.39464,6.39654,6.39234,6.39352,2845
2018.01.24,10:00,6.39361,6.39384,6.37844,6.37994,3803
2018.01.24,11:00,6.37974,6.38044,6.3729,6.37604,3409
2018.01.24,12:00,6.37614,6.37797,6.37086,6.37394,3006
2018.01.24,13:00,6.37394,6.37627,6.37138,6.37296,2997
2018.01.24,14:00,6.37304,6.37404,6.37075,6.37124,1878
2018.01.24,15:00,6.37117,6.37124,6.36154,6.36419,3284
2018.01.24,16:00,6.36423,6.36477,6.35652,6.35705,3089
2018.01.24,17:00,6.35696,6.36213,6.35574,6.35994,2475
2018.01.24,18:00,6.35974,6.36221,6.35571,6.35777,3039
2018.01.24,19:00,6.35775,6.35785,6.35164,6.35171,2216
2018.01.24,20:00,6.35164,6.35373,6.34674,6.34694,1931
2018.01.24,21:00,6.34694,6.35094,6.34534,6.34994,1459
2018.01.24,22:00,6.34994,6.35174,6.34939,6.34965,1193
2018.01.25,1:00,6.35041,6.3561,6.35041,6.35539,2480
2018.01.25,2:00,6.35539,6.35874,6.35289,6.35504,2501
2018.01.25,3:00,6.35504,6.35641,6.33821,6.33835,3456
2018.01.25,4:00,6.33845,6.34342,6.33217,6.33544,4070
2018.01.25,5:00,6.33544,6.33604,6.32417,6.33026,3864
2018.01.25,6:00,6.33044,6.33434,6.32989,6.33059,2040
2018.01.25,7:00,6.33069,6.33474,6.32548,6.32751,2718
2018.01.25,8:00,6.3275,6.33877,6.31464,6.33127,5596
2018.01.25,9:00,6.33121,6.34343,6.33043,6.33716,6040
2018.01.25,10:00,6.33716,6.34144,6.33144,6.33365,5068
2018.01.25,11:00,6.33355,6.33475,6.31944,6.32199,3597
2018.01.25,12:00,6.32204,6.32814,6.32185,6.32304,2900
2018.01.25,13:00,6.32294,6.32559,6.31703,6.32474,2090
2018.01.25,14:00,6.32474,6.32684,6.32014,6.3255,2508
2018.01.25,15:00,6.3255,6.32637,6.30663,6.30679,4128
2018.01.25,16:00,6.30679,6.32254,6.29767,6.31604,5910
2018.01.25,17:00,6.31588,6.3177,6.30237,6.30269,5553
2018.01.25,18:00,6.30263,6.30664,6.30006,6.30398,3248
2018.01.25,19:00,6.30421,6.30696,6.30401,6.30649,2046
2018.01.25,20:00,6.30635,6.30693,6.29561,6.29897,2847
2018.01.25,21:00,6.29898,6.3401,6.29825,6.32788,6224
2018.01.25,22:00,6.32788,6.3343,6.31537,6.32742,3881
2018.01.26,1:00,6.33644,6.34076,6.33552,6.34074,1539
2018.01.26,2:00,6.3409,6.34139,6.32685,6.33379,4267
2018.01.26,3:00,6.33379,6.33764,6.31504,6.32081,5903
2018.01.26,4:00,6.32091,6.33204,6.32084,6.32935,5616
2018.01.26,5:00,6.32934,6.33214,6.32607,6.32934,3904
2018.01.26,6:00,6.32934,6.33543,6.32754,6.33475,2166
2018.01.26,7:00,6.33479,6.33794,6.32993,6.33004,3209
2018.01.26,8:00,6.33006,6.33357,6.32652,6.32764,4656
2018.01.26,9:00,6.32774,6.32824,6.31844,6.32135,5667
2018.01.26,10:00,6.32135,6.32584,6.31554,6.31964,4048
2018.01.26,11:00,6.31952,6.33004,6.31952,6.32954,3709
2018.01.26,12:00,6.32954,6.33174,6.3216,6.32401,2658
2018.01.26,13:00,6.32404,6.32854,6.32072,6.3265,3174
2018.01.26,14:00,6.32654,6.32844,6.32424,6.32605,2198
2018.01.26,15:00,6.32614,6.32914,6.32187,6.32905,3644
2018.01.26,16:00,6.32893,6.3337,6.32476,6.32495,4600
2018.01.26,17:00,6.32496,6.33114,6.32264,6.32765,3881
2018.01.26,18:00,6.32772,6.33014,6.31794,6.32194,2761
2018.01.26,19:00,6.32187,6.32204,6.31657,6.31744,2526
2018.01.26,20:00,6.31738,6.31844,6.31084,6.31084,1547
2018.01.26,21:00,6.31084,6.32159,6.31061,6.32026,2263
2018.01.26,22:00,6.32014,6.32531,6.32006,6.32493,1260
2018.01.29,1:00,6.31919,6.32455,6.31588,6.32342,1432
2018.01.29,2:00,6.32348,6.32397,6.31295,6.31954,3429
2018.01.29,3:00,6.31954,6.33004,6.31794,6.32733,4914
2018.01.29,4:00,6.32764,6.33204,6.32594,6.32644,4011
2018.01.29,5:00,6.32654,6.32824,6.32238,6.32585,2833
2018.01.29,6:00,6.32583,6.32843,6.32421,6.32729,1240
2018.01.29,7:00,6.32729,6.33,6.32548,6.32901,2272
2018.01.29,8:00,6.32899,6.32995,6.32514,6.32584,2607
2018.01.29,9:00,6.32588,6.33154,6.32324,6.32761,4050
2018.01.29,10:00,6.32755,6.33064,6.32655,6.32927,3272
2018.01.29,11:00,6.32909,6.33304,6.32804,6.3324,2887
2018.01.29,12:00,6.33244,6.33728,6.3295,6.33702,3208
2018.01.29,13:00,6.33703,6.33926,6.3347,6.3385,2209
2018.01.29,14:00,6.33851,6.34114,6.33503,6.33745,2490
2018.01.29,15:00,6.33744,6.34294,6.33649,6.34208,2984
2018.01.29,16:00,6.34204,6.34764,6.341,6.34665,2485
2018.01.29,17:00,6.34657,6.34679,6.34105,6.34329,2344
2018.01.29,18:00,6.3433,6.34554,6.34204,6.34396,2478
2018.01.29,19:00,6.34396,6.34676,6.34088,6.34146,1085
2018.01.29,20:00,6.34147,6.34154,6.33807,6.33886,1194
2018.01.29,21:00,6.33886,6.33889,6.33344,6.33376,1050
2018.01.29,22:00,6.33373,6.3365,6.33355,6.33596,790
